Date,Month,Supplementary Oxygen,Ventilatory Support,New Covid-19 cases
10/18/2020,October,,,616
10/19/2020,October,39,,685
10/20/2020,October,41,,195
10/21/2020,October,41,27,571
10/22/2020,October,45,27,497
10/23/2020,October,59,,1068
10/24/2020,October,62,,631
10/26/2020,October,52,,931
10/29/2020,October,40,18,1018
10/30/2020,October,60,26,761
11/01/2020,November,68,31,1395
11/02/2020,November,83,26,685
11/03/2020,November,107,25,724
11/04/2020,November,122,25,492
11/05/2020,November,118,26,1494
11/06/2020,November,116,27,1008
11/08/2020,November,102,23,1065
11/09/2020,November,123,21,719
11/10/2020,November,117,22,756
11/11/2020,November,120,18,1344
11/12/2020,November,124,20,1216
11/14/2020,November,120,23,1470
11/15/2020,November,126,26,1080
11/16/2020,November,130,27,972
11/17/2020,November,124,26,559
11/18/2020,November,115,27,925
11/19/2020,November,117,27,957
11/20/2020,November,95,28,1459
11/21/2020,November,108,36,1048
11/23/2020,November,102,32,968
11/24/2020,November,124,29,413
11/25/2020,November,120,31,727
11/27/2020,November,123,41,780
11/29/2020,November,120,42,949
11/30/2020,November,115,47,711
12/02/2020,December,117,33,551
12/03/2020,December,118,31,961
12/04/2020,December,112,31,1253
12/05/2020,December,107,33,866
12/06/2020,December,115,36,735
12/07/2020,December,112,40,396
12/08/2020,December,105,31,199
12/09/2020,December,97,32,0
12/10/2020,December,80,27,1082
12/11/2020,December,70,26,644
12/12/2020,December,63,27,0
12/13/2020,December,66,28,0
12/14/2020,December,66,27,1587
12/15/2020,December,63,23,163
12/16/2020,December,63,23,404
12/17/2020,December,64,22,0
12/19/2020,December,53,24,356
12/20/2020,December,52,25,390
12/21/2020,December,45,24,349
12/22/2020,December,49,22,114
12/23/2020,December,50,20,154
12/24/2020,December,52,25,0
12/25/2020,December,50,18,663
12/26/2020,December,39,19,282
12/27/2020,December,50,18,130
12/28/2020,December,44,17,0
12/29/2020,December,29,17,149
12/31/2020,December,35,14,259
